Date,Name,High,PostDate,PostHigh,Change
2020-02-12,EOS,5.4502,2020-02-13,5.4756,0.466
2020-02-12,Ethereum,272.3988,2020-02-13,273.7411,0.4928
2020-02-12,IOTA,0.3533,2020-02-13,0.347,1.7832
2020-02-12,Litecoin,82.2719,2020-02-13,83.6892,1.7227
2020-02-12,Monero,95.2596,2020-02-13,96.0471,0.8267
2020-02-12,NEM,0.0773,2020-02-13,0.0741,4.1397
2020-02-12,Stellar,0.0818,2020-02-13,0.0867,5.9902
2020-02-12,Tether,1.0063,2020-02-13,1.0158,0.9441
2020-02-12,TRON,0.0242,2020-02-13,0.0257,6.1983
2020-02-12,USD Coin,1.0354,2020-02-13,1.0468,1.101
2020-02-12,Wrapped Bitcoin,10597.7847,2020-02-13,10589.1654,0.0813
